row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,BLANK_20250905144046.mzML Peak area,BLANK_20250905131026.mzML Peak area,BLANK_20250905141457.mzML Peak area,BLANK.mzML Peak area,AB_2.mzML Peak area,AB_7.mzML Peak area,AB_1.mzML Peak area,AB_5.mzML Peak area,AB_4.mzML Peak area,AB_3.mzML Peak area,AB_8.mzML Peak area,AB_9.mzML Peak area,AB_6.mzML Peak area
5125,160.0426774,2.296548,,,,,,,,,,,28.125498,0,0,0,0,0,0,0,42872.03,0,0,2054786.2,0
7679,160.0426976,3.3337119,,,,,,,,,,,13.747347,0,0,0,0,0,0,0,0,0,0,1488138.1,0
5758,160.0426982,2.599196,,,,,,,,,,,48.2615,0,0,0,0,0,0,0,0,0,0,215840.77,0
8108,160.0427896,3.5537262,,,,,,,,,,,31.359243,0,0,0,0,0,0,0,5705.6343,0,0,6570204.5,0
1303,160.0968756,0.80080247,,,,13,,,,,,,0,0,0,0,4806.3813,3704.2373,23664.715,3825.1975,9846.363,13558.358,29796.494,8717.547,8277.085
950,160.1081246,0.66164184,,,,13,,,,,,,0,0,0,0,2097.1716,17132.188,16779.588,10664.809,33862.457,18171.98,27546.217,7773.174,5860.715
701,160.1334422,0.576484,,,,13,,,,,,,24.907896,131.38516,243.79701,215.10907,67329.81,26487.508,73242.73,86137.74,79415.86,13667.164,45978.55,84176.44,21581.203
9943,161.1322374,4.574834,,,,42,,,,,,,213.59488,145.88234,288.47607,7.0957384,9080.491,16298.302,28998.201,24532.342,77324.3,31785.092,11077.763,86458.45,37003.586
11431,161.1324774,5.636265,,,,62,,,,,,,374.08914,276.21405,85.46291,0,193573.2,362629.62,495034,925259.3,2681983,203021.34,176037.34,1558843.1,1743733.8
10885,161.1325055,5.193249,,,,65,,,,,,,132.9021,339.30957,62.739506,0,1282.047,4485.489,4764.7905,7310.5225,35139.934,2779.378,1820.1008,16046.246,12753.495
3570,162.0549846,1.7519195,,,,15,,,,,,,0,0,0,0,6324.078,67514.44,80067.48,11000.516,28313.02,89994.38,1667.3135,191727.89,9890.946
1472,162.1125034,0.842534,,,,13,,,,,,,0,0,0,0,48720.945,12253.247,15544.136,3790.9058,6869.707,31554.01,34063.92,94666.57,0
573,162.1127833,0.53507453,,,,13,,,,,,,753.73083,222.0782,1002.3662,0,599719.7,86522.59,76140.48,101545.24,61574.973,80832.96,176687.86,1152658.1,25192.633
5203,163.0752463,2.3106291,,,,15,,,,,,,77.30457,164.10144,29.743052,0,120453.92,123942.875,305007.56,215055.69,315014.78,171587.1,76942.4,145372.86,241060
5951,163.075305,2.6667979,,,,15,230,[M+H]+,,2,5951;6041,162.068,67.2481,24.56188,9.345494,0,29644.645,33843.227,86828.03,91033.44,137921.5,37859.86,16229.542,76370.38,103617.63
6946,163.07533,3.021045,,,,15,,,,,,,202.36041,29.972515,9.182605,0,64435.51,31623.176,137274.03,96625.21,163843.17,129822.29,65683.28,123513.83,54329.473
7423,163.0753363,3.2269027,,,,85,,,,,,,101.704575,21.20814,15.184784,0,64486.902,62783.36,165975.16,138485.47,191639.06,112820.24,57459.88,239342.92,91571.66
1749,163.0965944,1.0265763,,,,13,,,,,,,0,0,0,0,0,121.63846,92674.72,60992.074,16550.139,50.131073,27623.457,0,10175.403
1263,164.0741279,0.73823553,,,,13,,,,,,,0,0,0,0,208.39539,289.3428,1218.0466,4734.527,6634.7505,2099.474,307.40952,62842.62,1359.6675
301,164.9210385,0.48160088,,,,13,,,,,,,0,0,5.570098,0,28.44974,5131.226,11253.653,15467.946,7375.266,11566.852,6421.632,0,1020.8838
1013,165.0548415,0.67058575,,,,13,58,[M+H]+,,2,1013;1001,164.04753,0,0,0,0,24298.992,22767.258,38652.547,43007.902,82332.87,28381.45,23765.309,39075.344,24529.607
9912,165.0699454,4.5513587,,,,,,,,,,,0,0,0,0,0,0,0,56033.72,0,0,0,0,90.796326
6912,165.0700388,3.016873,,,,,,,,,,,0,0,0,0,0,0,0,9241.666,0,0,0,0,33267.66
7833,165.0701,3.4001539,,,,,,,,,,,0,0,0,0,0,0,0,29847.186,0,0,0,0,2146.144
3484,166.0321963,1.7814776,,,,15,,,,,,,0,0,0,0,110622.31,0,0,414811.66,95177.55,13315.941,154444.69,788618.3,338757.47
1650,166.0322077,0.9811311,,,,13,,,,,,,6.865324,0,0,0,78251.055,0,0,275550.56,64825.418,5350.022,128051.37,678144.6,137688.33
1406,166.0723937,0.8425755,,,,13,,,,,,,8.271111,7.104092,6.3996396,0,29705.936,40531.645,122730.93,146010.25,175353.03,93376.414,58753.44,124730.36,120874.86
908,166.072484,0.66348517,,,,13,,,,,,,8.337198,6.0441065,6.3996396,0,70690.58,66646.77,102367.09,121734,157516.97,99182.64,59488.18,495217.8,132432.42
494,166.0845092,0.51976097,,,,13,29,[M+Na]+,,2,494;467,143.09525,6.091704,0,326.45853,0,8815.791,6764.5054,15237.7295,2794.6372,21349.402,40186.71,84134.21,38387.984,1793.8226
1501,166.0862627,0.89177185,,,,13,,,,,,,6.487558,0,0,5.0089984,63967.05,47381.766,111102.336,362312.9,452088.9,97414.76,155874.27,167386.16,165621.7
7132,166.0863132,3.0618653,,,,15,,,,,,,0,0,0,0,0,45785.473,1638.177,0,2061.2546,5984.6196,0,12969.201,0
1518,167.0564412,0.8973663,,,,13,,,,,,,23.171097,13.163333,10.701094,0,3254.2285,50777.83,374884.47,61013.066,27632.865,5426.083,0,26300.617,31947.97
5709,167.0703805,2.5905764,,,,15,,,,,,,0,0,0,0,19342.777,2718.0515,4780.6504,729.70496,6868.429,9899.404,6363.3174,14038.389,6612.2676
3055,167.0733028,1.680036,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,22336.885
6417,167.0856597,2.8446994,,,,,,,,,,,0,0,0,0,0,0,0,13925.681,0,0,0,0,26832.908
6884,167.0856873,3.0116563,,,,,,,,,,,0,0,0,0,0,0,0,22945.99,0,0,0,0,87980.17
7846,167.0857077,3.4018683,,,,,,,,,,,0,0,0,0,0,0,0,41705.633,0,0,0,0,1886.5585
1148,168.0634218,0.75183827,,,,13,,,,,,,0,0,8.449005,0,443.02368,8699.228,44712.69,13580.508,52705.68,29360.023,11077.398,6578.5205,5847.378
1331,168.0653358,0.8987016,,,,,,,,,,,245.36658,0,8.526865,0,4789.945,651.86316,1821.3632,64771.2,13512.684,2041.4829,34581.09,275442.25,108222.47
9762,168.0656013,4.473802,,,,46,,,,,,,43.178444,0,6.4886885,0,0,6714.8735,15925.761,17953.664,0,13978.19,7787.875,79195.73,15017.167
903,169.0358157,0.6548012,,,,13,,,,,,,0,7.35452,44.421223,0,124868.695,48995.36,4724.3,11065.184,3944.3398,22923.9,29843.29,6885.982,32922.902
2804,169.0497024,1.5856758,,,,15,,,,,,,0,0,0,0,3481.2913,18561.582,40042.516,58590.758,980.6476,7087.041,4900.0073,3210.5637,1225.4089
1051,169.1336996,0.6926673,,,,13,,,,,,,0,0,0,0,3787.5745,5687.3984,13612.045,5830.654,9888.749,23700.518,3292.0889,13337.066,15662.297
506,170.0332066,0.5308753,,,,13,31,[M+H]+,,3,450;506;511,169.02553,0,0,0,0,48764.707,13070.391,54810.25,23878.406,96460.984,2809.7104,39763.188,10522.984,1946.2694
4157,170.0447871,1.9921453,,,,15,,,,,,,0,0,0,0,32172.312,18180.69,15513.211,41050.082,27737.572,35720.523,0,14377.106,0
1842,170.0448865,1.1073289,,,,70,,,,,,,0,0,0,0,7942.5435,4154.236,43988.508,1081.88,6061.4766,2869.9185,11379.434,2612.3289,54.142174
7191,170.0479794,3.0945659,,,,,,,,,,,0,0,0,0,0,171601.25,0,0,0,0,13848.89,0,0
5356,170.0600329,2.4054399,,,,15,,,,,,,0,0,0,0,73479.234,108488.84,471356.75,520625.38,756257.3,325337.12,122202.414,573741.44,716759.6
2611,170.0601165,1.5616274,,,,15,,,,,,,0,0,0,0,9992.229,13588.902,32610.254,26387.994,79245.3,28453.035,15823.501,41422.297,12865.629
6261,170.0601609,2.779168,,,,15,,,,,,,0,0,0,0,19550.926,19684.68,37601.57,53148.523,53265.832,32731.977,29759.562,41775.047,76137.36
983,170.0925804,0.642741,,,,13,,,,,,,8.553555,107.98623,0,0,76375.8,70921.984,456967.34,329628.84,360296.16,55928.285,53490.703,100514.29,99331.52
530,170.0927736,0.48227456,,,,13,,,,,,,157.85643,978.44916,438.81216,0,106503.234,49134.727,158446.62,106242.1,103464.51,22227.668,19607.814,168963.98,82350.8
408,171.1496658,0.4826657,,,,13,20,[M+H]+,,2,386;408,170.14247,0,0,0,0,1874.7942,2237.5203,5045.9795,4220.3457,3535.769,3674.6592,2006.4255,4654.6895,7433.8726
5279,172.1329872,2.3425546,,,,15,,,,,,,0,0,0,44.422546,20794.4,57333.19,0,51058.504,4968.301,98892.24,0,161429.14,0
1971,173.0809693,1.1591234,,,,71,,,,,,,0,0,0,0,5800.4966,11237.486,44190.17,20820.277,31041.068,10533.188,17283.828,29984.037,7142.352
5349,173.096118,2.4039621,,,,15,,,,,,,9.030277,7.0906057,0,0,90277.555,115883.21,258632.27,238863.23,254960.38,135349.53,96426.13,184021.73,176998.45
7427,173.0961741,3.2271366,,,,85,,,,,,,7.062313,0,0,0,76578.23,78718.016,211637.56,166510.14,226861.47,127853.7,59620.445,326566.5,111053.26
10963,173.0962439,5.2202396,,,,65,,,,,,,6.266674,0,0,0,208.81021,62.37293,1200.4984,3118.4717,10095.422,122.80147,4836.071,56556.305,3908.0085
8294,173.0962821,3.6945338,,,,85,,,,,,,6.279665,0,0,0,692.85834,2557.5928,9210.828,3478.4324,67011.484,2810.1826,212.8683,25700.357,1606.3861
16311,173.1325929,8.510234,,,,,,,,,,,0,0,0,0,10.46748,0,1363.4987,588.62537,0,0,515.5189,17809.959,54.674797
1302,174.0526777,0.81666505,,,,13,,,,,,,0,0,0,0,9782.759,0,0,141909.45,84665.3,678.7321,85397.15,13386.317,64064.77
5145,174.0582389,2.276733,,,,,,,,,,,0,0,0,0,0,0,0,0,4193.845,0,0,433411.5,0
1049,174.1238198,0.68983334,,,,13,,,,,,,0,0,0,0,6516.463,30761.336,65579.734,17687.521,71391.51,65364.55,165756.69,18873.857,8528.388
1990,174.1490004,1.1500121,,,,71,,,,,,,0,0,0,0,28128.95,39153.465,128.6011,52998.918,24693.506,137540.78,465.28372,216887.69,5120.3022
3455,175.0788414,1.778631,,,,15,136,[M+H]+,,2,3463;3455,174.07151,0,0,0,0,26798.926,12707.312,15432.43,20952.994,25790.246,77048.125,10901.34,100424.47,17374.855
3921,175.111756,1.9300102,,,,15,,,,,,,11.283592,8.55942,7.234044,0,45361.17,47275.465,83819.586,87870.305,98003.84,96695.914,33369.83,93034.61,72551.73
7243,175.1118005,3.1031578,,,,15,,,,,,,16.718958,7.0161443,6.9819026,0,14370.956,11838.274,77315.9,67766.836,76236.414,36071.312,5094.9775,66205.75,48114.004
4810,175.111819,2.1681225,,,,15,,,,,,,13.90716,7.7142515,7.5244646,0,36934.87,40099.242,118055.766,88233.35,77917.086,74941.984,25184.145,118983.14,40318.367
2206,175.123182,1.4108768,,,,15,,,,,,,0,0,0,0,694.9578,9582.22,196038.58,80990.45,57209.633,22875.357,10626.655,37157.562,12872.544
343,175.1446503,0.47570488,,,,13,17,[M+H]+,,2,343;333,174.13754,0,0,0,0,15167.072,2555.092,29217.064,10436.003,14711.358,8252.128,4683.767,55253.125,21829.242
13528,175.1483359,7.044853,,,,61,,,,,,,0,0,0,0,1581.546,1822.8993,5028.585,5560.187,4117.485,11601.413,2112.4602,44292.484,0
448,176.0413062,0.5150198,,,,13,28,[M+Na]+,,2,450;448,153.05212,0,0,0,0,2307.0312,1170.3008,5597.292,3700.6033,11906.412,250.96056,12995.165,0,0
4408,176.0706642,2.050298,,,,15,,,,,,,0,0,0,0,14489.485,48936.652,85885.76,97451.34,97150.484,65149.133,25540.246,64828.6,72526.37
8109,176.0707051,3.5606968,,,,,,,,,,,15.837345,0,0,0,0,0,0,0,4914.0947,0,0,5265719,0
7681,176.0708724,3.3732786,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,10.255069,51783.28,0
10488,177.0911045,4.8846607,,,,93,,,,,,,0,0,0,0,1090.9618,60.286358,3996.9624,6494.861,9476.735,966.9899,8077.4604,75528.34,5950.8813
7184,177.1019482,3.103157,,,,,,,,,,,0,0,0,0,0,195860.25,0,0,0,0,15893.779,0,146.72032
3912,177.102088,1.9232881,,,,,,,,,,,0,0,0,0,0,76774.31,0,0,0,0,0,1169.4978,0
3577,177.1121112,1.8493145,,,,15,,,,,,,0,0,28.79077,10.016434,0,226.20923,620413,609902.3,208073.22,523.4696,413744.6,953.64343,77855.7
2666,177.1121939,1.5701636,,,,15,,,,,,,0,0,0,0,0,0,58913.902,31585.738,3821.4263,0,38576.766,0,1878.0029
3296,177.1122416,1.7264057,,,,15,,,,,,,0,0,0,0,0,188.2363,167953.94,126989.69,33652.867,751.66864,118688.39,1248.4923,8642.924
7597,177.1273969,3.2940695,,,,85,,,,,,,191.34279,295.3224,130.34305,7.9857283,68982.32,18533.453,36392.176,175347.75,155995.62,44006.453,107200.37,58976.184,68863.88
5426,177.1274239,2.4296358,,,,15,,,,,,,289.73462,546.9045,137.46234,8.165658,275163.9,376815.78,345126.94,721673.2,776433.7,238570.58,251964.61,706321.2,917858.9
8514,177.127444,3.7834663,,,,85,,,,,,,249.65567,130.20656,67.14271,7.5834613,1238.2043,2566.0962,6887.7285,5708.5415,43059.47,1091.4984,1510.9918,18672.775,7998.388
11199,177.1274909,5.4185557,,,,31,,,,,,,245.65071,71.43024,65.95531,9.819496,807.9775,125.39519,1204.0258,7910.654,7357.5166,107.87262,9338.548,87497.04,7985.649
276,178.0592884,0.46740448,,,,13,10,[M+H]+,,3,260;250;276,177.05209,0,0,0,0,13185.171,10015.598,16353.689,28283.861,42356.37,16423.252,17004.568,11774.292,3942.1162
3588,180.065493,1.8531567,,,,15,,,,,,,248.89696,130.33105,95.109764,0,39613.754,89025.39,117244.55,17350.688,95492.08,215866.19,14909.123,329666.2,69514.16
3135,180.0656478,1.6973382,,,,15,125,[M+H]+,,2,3115;3135,179.0583,1023.82263,288.09695,82.12625,0,12549.47,426374.2,790014.94,24169.59,178683.19,735984.94,1194.0143,758817.3,10097.199
1276,180.0879205,0.76433647,,,,13,,,,,,,0,0,0,0,20802.992,33.82381,2013.8384,4059.3052,1258.5713,1134.7408,188.89487,3500.2246,777.8318
2124,180.0881407,1.312198,,,,41,,,,,,,0,0,0,0,96845.9,160028.28,499477.8,421059.66,516441.88,384116.12,155731.97,753950.94,279514.62
6041,180.10179,2.685547,,,,15,230,[M+NH4]+,,2,5951;6041,162.068,6.585415,8.071853,5.954462,9.815778,10164.147,11032.399,22302.045,29617.76,10411.91,22533.06,32551.646,38308.69,4503.9575
6311,180.1018685,2.7965298,,,,15,,,,,,,6.191246,8.071853,0,9.815778,7320.458,28517.117,160361.55,20039.883,3967.9243,13966.964,15006.729,36720.06,21726.771
7962,180.1018874,3.5024083,,,,85,,,,,,,7.258968,8.044309,0,37.877426,14962.191,383.19037,31102.184,48206.31,9192.133,41941.33,58295.77,125283.29,1379.1677
8837,180.1019283,3.9387066,,,,69,,,,,,,8.145158,6.654264,6.254245,9.311665,5506.436,510.35208,149232.42,1015.3408,246.6734,8216.194,2882.9565,1778.8678,38734.027
8307,180.1019286,3.7014768,,,,85,,,,,,,7.153138,13.544586,0,8.590372,5028.993,136.6316,15106.713,43020.59,10033.336,12913.752,41605.875,137389.17,161.60245
337,180.8951691,0.4841956,,,,13,,,,,,,0,0,0,0,1123.6665,5566.594,15345.352,14222.126,8821.856,8523.954,5309.33,649.672,4375.716
358,180.9044927,0.47753662,,,,13,19,[M+Na]+,,2,395;358,157.91537,0,0,0,0,14067.613,17929.863,16410.824,16460.371,31990.36,22892.99,2350.821,5817.537,17243.28
2972,181.0611178,1.6578145,,,,15,,,,,,,0,0,0,0,29011.432,63737.49,221109.23,154213.4,193023.53,119230.24,59428.49,73443.586,92239.89
2956,181.0719681,1.6508166,,,,15,,,,,,,16.897438,61.505005,33.20289,0,47869.863,48667.953,539948.4,80109.13,230505.72,3194.2437,19257.965,397.0962,8461.291
877,181.0719839,0.63473046,,,,13,,,,,,,8.501038,52.8592,23.770857,0,2157.0542,4772.566,35393.81,932.7501,5542.235,59.251938,182.83133,0,86.723335
2251,181.0721581,1.4538447,,,,15,,,,,,,7.8063774,88.11571,8.194519,0,27736.738,127258.79,608140.8,198992.48,176702.81,11107.829,9343.598,49330.633,89003.21
2148,181.0915383,1.313726,,,,41,,,,,,,0,0,0,0,5803.057,10394.2,32534.191,29153.416,34625.777,26334.234,10199.248,52225.664,19204.664
8802,181.1102113,3.9509425,,,,,,,,,,,0,0,0,0,1103.1761,30.620739,59982.92,19.774214,0,589.6373,683.509,0,13524.088
1654,182.0269987,0.9808639,,,,13,,,,,,,6.9212556,0,0,0,163455.9,0,0,659385.44,161980.38,12936.222,319024.06,1630732.5,376058.03
2341,182.0271513,1.4819576,,,,15,,,,,,,0,0,0,0,9308.596,0,0,55479.68,19017.332,185.82133,20707.512,70210.11,58039.836
467,182.058359,0.5222476,,,,13,29,[M+K]+,,2,494;467,143.09525,0,0,93.98015,0,10497.567,2745.0332,11438.045,688.8352,19848.877,23188.893,33459.492,151349.02,1707.6736
1361,182.0674357,0.8230737,,,,13,,,,,,,0,0,0,0,24314.977,13060.859,25306.621,51115.582,30263.412,20570.047,29246.615,10004.668,48871.875
1001,182.0813264,0.675042,,,,13,58,[M+NH4]+,,2,1013;1001,164.04753,1616.669,15.154593,319.3809,0,39434.06,37037.086,78154.76,84055.35,138257.86,45988.348,40335.336,116954.75,40649.945
2010,182.081347,1.2091681,,,,79,,,,,,,1158.7695,8.934992,132.9892,0,439951.62,1029.9539,6739.7163,2496834,303110.5,32056.027,683919,3002084,2174121
2725,182.0814367,1.5818219,,,,15,,,,,,,715.48785,10.504575,164.72917,0,69102.08,1508.1063,0,239403.75,1585.8066,5804.1265,103310.72,200643.33,220373.86
3056,182.0974884,1.6886971,,,,,,,,,,,0,0,0,0,393.45642,0,0,0,0,0,0,0,36113.668
8827,182.1177474,3.9424517,,,,69,,,,,,,0,0,0,0,10595.68,517.9178,258594.92,1225.5309,0,7647.3184,7277.4243,0,59491.473
6607,182.117756,2.9298437,,,,,,,,,,,0,0,0,0,542.6125,0,26923.479,0,0,0,312.67862,0,8776.724
1712,183.0304613,0.9892612,,,,13,,,,,,,0,0,0,0,9811.17,0,0,41669.246,10334.592,152.0949,21271.594,122378.51,26264.182
1366,183.051402,0.8124284,,,,13,,,,,,,0,0,0,0,3256.2285,10253.688,32325.537,995.0152,3875.2388,4894.9634,0,0,1937.3999
6389,183.1492858,2.8299792,,,,15,243,[M+H]+,,2,6394;6389,182.14218,18978.95,18831.19,19382.744,25890.229,3655.7793,4978.14,2118.8918,0,3507.3145,2787.7876,3627.9636,805.97516,0
17528,184.0017349,10.832668,,,,47,,,,,,,15839.317,17305.104,15844.489,19430.71,18404.61,15940.877,18315.975,17169.875,17308.207,17350.934,15468.52,15806.52,15082.229
2857,184.042864,1.6214256,,,,15,,,,,,,10255.192,47.74137,1006.77954,0,597.7187,2168.0583,929.5315,5280.7603,4136.3564,854.35223,201617.53,34034.18,8173.071
1283,184.0605263,0.7981883,,,,13,,,,,,,0,0,0,0,32075.527,57872.92,61099.914,25308.2,36878.086,70379.59,72897.27,9927.567,57488.23
416,184.0950575,0.5048704,,,,13,25,[M+Na]+,,2,409;416,161.10586,0,0,8.28936,0,16971.78,2128.033,257.97278,1159.3866,480.58868,823.2322,13396.392,2860.1611,0
7083,184.155839,3.0867023,,,,,,,,,,,0,0,0,0,0,32671.885,0,0,0,0,2339.4392,0,0
1558,185.1033992,0.92945,,,,13,,,,,,,0,0,0,0,3002.8433,12601.217,38157.61,2532.2217,3746.5405,181.59596,0,2864.81,0
2100,185.1034852,1.2887496,,,,41,,,,,,,0,0,0,0,11695.866,27046.006,98236.125,17405.35,17110.654,1496.8428,91.38381,8745.901,0
2279,185.1286615,1.4704858,,,,15,105,[M+H]+,,2,2279;2272,184.12147,0,0,0,0,137092.47,59240.12,599290.2,329028.62,485512.06,331417.94,166042.6,317908.47,115684.88
9755,186.0761942,4.461994,,,,46,,,,,,,7.236664,0,0,0,0,16168.614,42559.19,43659.523,0,43074.184,20740.504,185769.4,35244.58
511,187.0583769,0.5266311,,,,13,31,[M+NH4]+,,2,506;511,169.02553,0,0,0,0,271.9027,1089.1447,14997.275,16472.314,14507.289,6882.6367,9226.488,2392.08,2102.1277
5214,187.1117926,2.3144581,,,,15,197,[M+H]+,,2,5165;5214,186.10452,0,0,0,0,79354.086,89747.03,203636.56,148902.61,192573.6,118705.15,58686.934,74642.516,162295.7
5918,187.1118833,2.6553216,,,,15,222,[M+H]+,,2,5856;5918,186.10455,0,0,0,0,20639.842,26431.215,56842.86,62177.56,91545.875,27705.69,12970.539,57885.07,67113.305
16313,187.1483375,8.512689,,,,,,,,,,,0,0,0,0,60.936073,0,1290.8533,422.5538,0,0,377.40976,17421.707,147.22043
965,187.1806101,0.6632873,,,,13,,,,,,,0,0,0,0,4625.642,0,2880.9717,34809.44,2007.817,1811.4314,177.33513,0,0
3440,188.0707139,1.7689848,,,,15,,,,,,,0,0,0,0,10018.469,7324.896,14970.512,10121.425,58078.797,54259.484,34135.152,38043.816,12055.526
